OperationID,OperationName,Status,Remarks,IngestionDate
1,Operation 1,Completed,Remark for operation 1,2023-03-24
2,Operation 2,Pending,Remark for operation 2,2023-03-24
3,Operation 3,Completed,Remark for operation 3,2023-03-24
4,Operation 4,Pending,Remark for operation 4,2023-03-24
5,Operation 5,Completed,Remark for operation 5,2023-03-24
6,Operation 6,Pending,Remark for operation 6,2023-03-24
7,Operation 7,Completed,Remark for operation 7,2023-03-24
8,Operation 8,Pending,Remark for operation 8,2023-03-24
9,Operation 9,Completed,Remark for operation 9,2023-03-24
10,Operation 10,Pending,Remark for operation 10,2023-03-24
11,Operation 11,Completed,Remark for operation 11,2023-03-24
12,Operation 12,Pending,Remark for operation 12,2023-03-24
13,Operation 13,Completed,Remark for operation 13,2023-03-24
14,Operation 14,Pending,Remark for operation 14,2023-03-24
15,Operation 15,Completed,Remark for operation 15,2023-03-24
16,Operation 16,Pending,Remark for operation 16,2023-03-24
17,Operation 17,Completed,Remark for operation 17,2023-03-24
18,Operation 18,Pending,Remark for operation 18,2023-03-24
19,Operation 19,Completed,Remark for operation 19,2023-03-24
20,Operation 20,Pending,Remark for operation 20,2023-03-24
21,Operation 21,Completed,Remark for operation 21,2023-03-24
22,Operation 22,Pending,Remark for operation 22,2023-03-24
23,Operation 23,Completed,Remark for operation 23,2023-03-24
24,Operation 24,Pending,Remark for operation 24,2023-03-24
25,Operation 25,Completed,Remark for operation 25,2023-03-24
26,Operation 26,Pending,Remark for operation 26,2023-03-24
27,Operation 27,Completed,Remark for operation 27,2023-03-24
28,Operation 28,Pending,Remark for operation 28,2023-03-24
29,Operation 29,Completed,Remark for operation 29,2023-03-24
30,Operation 30,Pending,Remark for operation 30,2023-03-24
31,Operation 31,Completed,Remark for operation 31,2023-03-24
32,Operation 32,Pending,Remark for operation 32,2023-03-24
33,Operation 33,Completed,Remark for operation 33,2023-03-24
34,Operation 34,Pending,Remark for operation 34,2023-03-24
35,Operation 35,Completed,Remark for operation 35,2023-03-24
36,Operation 36,Pending,Remark for operation 36,2023-03-24
37,Operation 37,Completed,Remark for operation 37,2023-03-24
38,Operation 38,Pending,Remark for operation 38,2023-03-24
39,Operation 39,Completed,Remark for operation 39,2023-03-24
40,Operation 40,Pending,Remark for operation 40,2023-03-24
41,Operation 41,Completed,Remark for operation 41,2023-03-24
42,Operation 42,Pending,Remark for operation 42,2023-03-24
43,Operation 43,Completed,Remark for operation 43,2023-03-24
44,Operation 44,Pending,Remark for operation 44,2023-03-24
45,Operation 45,Completed,Remark for operation 45,2023-03-24
46,Operation 46,Pending,Remark for operation 46,2023-03-24
47,Operation 47,Completed,Remark for operation 47,2023-03-24
48,Operation 48,Pending,Remark for operation 48,2023-03-24
49,Operation 49,Completed,Remark for operation 49,2023-03-24
50,Operation 50,Pending,Remark for operation 50,2023-03-24
